vehicle_id,Bike Producer,Series,Size,Configuration,Bike Model,Sales Name,Year,Cylinder,Type of Drive,Engine Output,Country,Category 1,Category 2
378,GAS GAS,TXT,80,,TXT 80,,2018,1,2-STROKE,,ALL,MOTORBIKE,TRIAL
379,GAS GAS,TXT,280,RACING,TXT 280 RACING,,2020,1,2-STROKE,,ALL,MOTORBIKE,TRIAL
380,GAS GAS,TRIAL,,TWO,TRIAL TWO,Pro,2020,,ELECTRIC,"2 KW(2,7 PS)",ALL,MOTORBIKE,TRIAL
381,GENERIC (KSR MOTO),TRIGGER,125,X,TRIGGER 125 X,,2008,1,4-STROKE,"8,1 KW(11 PS)",EUROPE,MOTORBIKE,ENDURO
382,GENERIC (KSR MOTO),ROC,50,,ROC 50,,2009,1,2-STROKE,"2,5 KW(3,4 PS)",EUROPE,SCOOTER,SCOOTER
383,GENERIC (KSR MOTO),XORý,50,,XORý 50,Competition,2010,1,2-STROKE,"2,5 KW(3,4 PS)",EUROPE,SCOOTER,SCOOTER
384,GENERIC (KSR MOTO),WORX,125,,WORX 125,,2014,1,4-STROKE,"8,4 KW(11,4 PS)",EUROPE,MOTORBIKE,NAKEDBIKE
385,GENERIC (KSR MOTO),CRACKER,50,2T,CRACKER 50 2T,,2014,1,2-STROKE,"2,5 KW(3,4 PS)",EUROPE,SCOOTER,SCOOTER
386,GENERIC (KSR MOTO),TRIGGER,50,X,TRIGGER 50 X,,2016,1,2-STROKE,"2,2 KW(3 PS)",EUROPE,MOTORBIKE,MOPED
387,GENERIC (KSR MOTO),ONYX,50,4T,ONYX 50 4T,,2016,1,4-STROKE,"2,7 KW(3,7 PS)",EUROPE,SCOOTER,SCOOTER
388,GENERIC (KSR MOTO),CODE,125,CBS,CODE 125 CBS,,2018,1,4-STROKE,"8 KW(10,9 PS)",EUROPE,MOTORBIKE,NAKEDBIKE
389,GENERIC (KSR MOTO),PANDORA,50,,PANDORA 50,,2019,1,4-STROKE,"2,3 KW(3,1 PS)",EUROPE,SCOOTER,SCOOTER
390,GILERA,RX,125,,RX 125,Arizona,1987,1,2-STROKE,18 KW(24 PS),EUROPE,MOTORBIKE,ENDURO
391,GILERA,XRT,600,,XRT 600,,1988,1,4-STROKE,20 KW(27 PS); 30 KW(41 PS),EUROPE,MOTORBIKE,DUAL PURPOSE
392,GILERA,NORDWEST,350,,NORDWEST 350,,1991,1,4-STROKE,24 KW(33 PS),EUROPE,MOTORBIKE,SUPERMOTO
393,GILERA,RC,600,R,RC 600 R,,1992,1,4-STROKE,40 KW(55 PS),EUROPE,MOTORBIKE,DUAL PURPOSE
394,GILERA,RUNNER,125,FX,RUNNER 125 FX,DD SP,1999,1,2-STROKE,"10,3 KW(14 PS)",EUROPE,SCOOTER,SCOOTER
395,GILERA,RUNNER,125,VX,RUNNER 125 VX,,2005,1,4-STROKE,11 KW(15 PS),EUROPE,SCOOTER,SCOOTER
396,GILERA,RUNNER,125,ST,RUNNER 125 ST,,2016,1,4-STROKE,11 KW(15 PS),EUROPE,SCOOTER,SCOOTER
397,GOES,WIKI,50,,WIKI 50,,2010,1,2-STROKE,"3,6 KW(4,9 PS)",EUROPE,SCOOTER,SCOOTER
398,GOES,G,520,2X4,G 520 2X4,,2012,1,4-STROKE,15 KW(20 PS); 23 KW(31 PS),EUROPE,ATV,ATV
399,GOES,G,520,2X4,G 520 2X4,Edition EPS,2016,1,4-STROKE,15 KW(20 PS); 23 KW(31 PS),EUROPE,ATV,ATV
400,Harley Davidson,E,1000,,E 1000,,1937,2,4-STROKE,,ALL,MOTORBIKE,TOURER
401,Harley Davidson,GA,750,,GA 750,Servi Car,1941,2,4-STROKE,,ALL,THREEWHEELER,SERVICE VEHICLE
402,Harley Davidson,FL,1200,,FL 1200,,1948,2,4-STROKE,,ALL,MOTORBIKE,TOURER
403,Harley Davidson,FLF,1200,,FLF 1200,Hydra Glide,1953,2,4-STROKE,42 KW(57 PS),ALL,MOTORBIKE,TOURER
404,Harley Davidson,XLH,1000,,XLH 1000,Sportster,1979,2,4-STROKE,36 KW(49 PS),ALL,MOTORBIKE,NAKEDBIKE
405,Harley Davidson,FLHC-80,1340,,FLHC 1340,Electra Glide Classic,1981,2,4-STROKE,47 KW(64 PS),ALL,MOTORBIKE,TOURER
406,Harley Davidson,FXEF-80,1340,,FXEF 1340,Fat Bob,1981,2,4-STROKE,49 KW(67 PS),ALL,MOTORBIKE,CHOPPER
407,Harley Davidson,FLT-80,1340,,FLT 1340,Tour Glide,1983,2,4-STROKE,52 KW(70 PS),ALL,MOTORBIKE,TOURER
